rank,ticker,sector,industry,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,date
1,ALKA,Basic Materials,Aluminum,184153,7400.0,1908.6,1106.96,520.51,0.0,2287.1,100.0,35.1,47.8,145.0,535.3,100,100,100,100,100,top1,top1,top1,top1,top1,5,2026-09-18
2,MGLV,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1665823,14400.0,743.55,-372.42,-221.0,-5.6,3709.5,94.3,0.2,11.2,39.4,133.5,100,93,92,99,100,top1,,,top1,top1,3,2026-09-18
3,KOTA,Real Estate,Real Estate Services,970196420,194.0,454.67,-61.58,-258.79,-15.7,708.3,82.5,-4.8,0.1,22.6,99.3,99,82,98,99,98,top1,,top2,top1,top2,4,2026-09-18
4,SAFE,Industrials,Railroads,708793,1160.0,452.15,277.2,263.17,0.0,586.4,100.0,24.7,45.1,111.7,186.6,99,100,99,98,97,top1,top1,top1,top2,,4,2026-09-18
5,INPS,Industrials,Trucking,315136,1065.0,429.93,82.61,67.21,0.0,850.9,100.0,26.0,39.3,51.0,90.2,99,95,89,80,99,top1,,,,top1,2,2026-09-18
6,VISI,Industrials,Industrial Distribution,2240673,1230.0,427.95,74.42,203.36,-3.9,772.3,95.6,17.6,22.2,29.3,76.8,99,90,40,97,99,top1,,,,top1,2,2026-09-18
7,TRUK,Industrials,Trucking,1968946,1295.0,413.76,184.63,125.73,0.0,560.7,100.0,16.9,32.9,84.1,150.1,99,99,99,99,97,top1,top1,top1,top1,,4,2026-09-18
8,PKPK,Industrials,Engineering & Construction,1415003,4300.0,399.73,12.28,59.89,-5.1,696.3,94.2,-1.5,6.6,12.6,68.5,98,81,92,97,98,top2,,,,top2,2,2026-09-18
9,MMIX,Healthcare,Pharmaceutical Retailers,27968283,850.0,360.06,-61.35,28.18,-1.2,431.2,98.6,1.7,5.0,11.6,96.4,98,71,73,100,97,top2,,,top1,,2,2026-09-18
10,STAR,Financial Services,Asset Management,930273,378.0,349.2,-151.23,-268.86,-52.2,704.3,44.5,-1.1,-4.7,9.6,-17.3,98,10,69,6,99,top2,,,,top1,2,2026-09-18
