rank,ticker,sector,industry,avg_vol_30d,price,rs_score,rs_delta,rs_delta_momentum,pct_from_52w_high,pct_from_52w_low,range_position,price_vs_sma10,price_vs_sma20,price_vs_sma50,price_vs_sma200,percentile,pct_1m,pct_3m,pct_6m,pct_12m,elite_rs,elite_1m,elite_3m,elite_6m,elite_12m,elite_count,date
11,TAMA,Real Estate,Real Estate - Development,10674643,196.0,346.33,-267.87,-461.46,-28.5,625.9,68.4,0.2,-8.3,-8.9,42.1,98,1,68,94,97,top2,,,,,1,2026-09-18
12,DOOH,Communication Services,Advertising Agencies,78631156,458.0,341.12,88.1,-44.48,0.0,367.3,100.0,20.8,29.9,67.0,120.5,97,94,100,99,93,,,top1,top1,,2,2026-09-18
13,MORA,Communication Services,Telecom Services,468503,5125.0,313.01,-131.59,237.8,-67.5,1120.2,30.6,-2.5,-3.5,-10.4,-28.5,97,42,4,46,99,,,,,top1,1,2026-09-18
14,EURO,Consumer Defensive,Household & Personal Products,2253036,1505.0,301.53,-96.4,105.13,-59.8,512.2,36.0,4.3,4.3,-10.4,0.9,97,7,8,53,97,,,,,,0,2026-09-18
15,BLUE,Technology,Electronics & Computer Distribution,376666,3020.0,291.63,22.22,152.25,-55.8,865.7,41.5,-0.3,5.1,9.8,-13.1,97,87,8,24,99,,,,,top1,1,2026-09-18
16,NICK,Real Estate,Real Estate Services,53600,2780.0,270.34,138.5,108.55,0.0,191.1,100.0,10.3,28.7,74.1,114.7,97,99,99,97,87,,top1,top1,,,2,2026-09-18
17,BSML,Industrials,Marine Shipping,12069973,550.0,261.88,-29.48,42.83,0.0,428.8,100.0,2.6,4.5,5.4,42.7,96,60,67,93,96,,,,,,0,2026-09-18
18,SOFA,Utilities,Utilities - Renewable,6024166,346.0,259.47,61.95,37.71,-41.4,592.0,54.8,1.5,-0.1,23.8,-6.5,96,88,82,14,98,,,,,top2,1,2026-09-18
19,MSJA,Consumer Cyclical,Textile Manufacturing,18118053,830.0,254.83,109.91,105.56,-6.7,194.5,90.1,13.4,41.6,72.3,97.0,96,99,97,96,93,,top1,,,,1,2026-09-18
20,UANG,Real Estate,Real Estate - Development,1101580,4300.0,254.54,-101.95,-115.4,-42.7,454.8,52.4,7.7,31.3,55.8,19.9,96,98,96,67,96,,top2,,,,1,2026-09-18
21,VKTR,Consumer Cyclical,Recreational Vehicles,97883880,770.0,253.37,-121.32,-159.25,-40.5,593.7,55.7,-4.9,-10.9,-3.9,-3.4,96,7,65,57,98,,,,,top2,1,2026-09-18
22,SINI,Basic Materials,Lumber & Wood Production,9887250,16800.0,248.27,132.14,127.66,-12.5,354.1,84.5,16.7,36.8,83.7,47.1,95,99,93,91,96,,top1,,,,1,2026-09-18
23,SOCI,Industrials,Marine Shipping,21288783,620.0,237.99,22.76,-42.46,-16.2,228.4,78.2,-4.5,2.6,24.0,34.1,95,77,96,54,94,,,,,,0,2026-09-18
24,FORU,Communication Services,Advertising Agencies,2957216,3540.0,235.16,33.94,98.89,-23.9,252.2,69.5,-7.9,14.5,23.5,78.9,95,96,15,97,93,,,,,,0,2026-09-18
25,SMMT,Energy,Thermal Coal,545826,2970.0,234.65,94.21,130.02,-4.2,188.3,93.7,8.1,25.0,44.6,77.2,95,96,93,98,92,,,,top2,,1,2026-09-18
26,PADA,Industrials,Staffing & Employment Services,99395693,206.0,230.24,-265.59,-486.95,-47.4,402.4,47.0,-1.0,-4.5,18.1,13.9,95,5,95,90,96,,,,,,0,2026-09-18
27,CASH,Industrials,Business Equipment & Supplies,2502533,272.0,227.27,25.63,48.37,0.0,205.6,100.0,16.8,16.4,22.1,52.8,94,89,93,95,91,,,,,,0,2026-09-18
28,TINS,Basic Materials,Other Industrial Metals & Mining,50732446,4700.0,224.04,18.05,35.6,-0.8,347.9,98.9,1.9,8.3,19.4,32.3,94,84,77,82,96,,,,,,0,2026-09-18
29,GULA,Consumer Defensive,Farm Products,27358836,810.0,223.36,-7.68,69.13,-5.3,243.2,92.7,-0.3,2.8,6.9,67.7,94,67,72,98,92,,,,top2,,1,2026-09-18
30,JARR,Consumer Defensive,Farm Products,19312216,4190.0,222.88,21.0,8.87,-48.6,250.3,43.1,15.0,23.0,66.2,71.2,94,98,98,96,92,,top2,top2,,,2,2026-09-18
31,AGII,Basic Materials,Chemicals,271740,3390.0,213.84,14.53,77.06,-5.4,376.2,93.2,8.8,12.6,13.6,30.8,93,80,74,64,95,,,,,,0,2026-09-18
32,KETR,Technology,Communication Equipment,53710680,990.0,209.74,64.85,82.84,-33.1,155.2,55.1,7.7,16.8,47.0,48.8,93,97,94,96,86,,,,,,0,2026-09-18
33,VERN,Communication Services,Entertainment,12244476,226.0,206.51,-3.03,-25.9,-11.0,159.8,83.2,-2.2,-5.0,5.4,54.9,93,20,91,98,84,,,,top2,,1,2026-09-18
34,CBPE,Real Estate,Real Estate - Development,464046,496.0,205.67,-38.0,-139.94,-14.5,163.4,78.6,-1.2,-2.2,15.7,47.5,93,14,95,93,92,,,,,,0,2026-09-18
35,ADES,Consumer Defensive,Beverages - Non-Alcoholic,12560,32500.0,203.5,-21.46,53.8,-16.3,150.0,75.4,2.2,1.3,-2.9,45.7,93,33,71,96,91,,,,,,0,2026-09-18
36,PACK,Consumer Cyclical,Packaging & Containers,180407993,615.0,200.31,123.92,109.44,-81.2,324.1,15.0,8.8,17.2,73.1,-1.9,92,99,98,99,1,,top1,top2,top1,,3,2026-09-18
37,BAJA,Basic Materials,Steel,9899396,280.0,199.54,-88.51,-231.0,-22.7,139.3,66.5,-1.9,-0.3,5.8,52.4,92,1,94,95,89,,,,,,0,2026-09-18
38,BEEF,Consumer Defensive,Packaged Foods,10841266,420.0,194.67,-30.32,-153.9,-46.2,230.7,44.9,-4.1,-6.6,6.5,26.4,92,7,99,92,72,,,top1,,,1,2026-09-18
39,CSMI,Consumer Cyclical,Restaurants,64765713,193.0,193.66,105.53,78.73,-68.1,227.1,24.5,1.7,5.7,52.8,47.0,92,96,99,96,8,,,top1,,,1,2026-09-18
40,PGUN,Consumer Defensive,Farm Products,149936,10050.0,192.86,-83.85,43.89,-65.9,161.3,24.2,4.3,3.3,19.3,11.1,92,69,79,74,95,,,,,,0,2026-09-18
41,ASPI,Consumer Cyclical,Residential Construction,2001396,635.0,187.77,92.45,136.96,-48.2,152.0,39.4,26.9,41.3,44.5,33.6,91,97,97,97,78,,,,,,0,2026-09-18
42,TOTL,Industrials,Engineering & Construction,4488196,1545.0,186.52,-1.34,-33.07,-0.6,124.1,98.8,1.8,2.7,17.8,44.0,91,58,85,92,89,,,,,,0,2026-09-18
43,IRSX,Technology,Software - Application,58476576,410.0,185.03,-58.18,19.0,-47.7,253.6,44.0,-0.4,3.9,16.8,-7.3,91,67,86,36,95,,,,,,0,2026-09-18
44,ERAA,Consumer Cyclical,Specialty Retail,139743430,620.0,184.36,47.41,26.21,0.0,106.7,100.0,4.2,13.5,33.9,58.1,91,91,94,92,76,,,,,,0,2026-09-18
45,ASGR,Industrials,Specialty Business Services,1462076,2160.0,183.72,15.67,65.76,-5.3,131.0,91.1,1.1,3.1,11.3,41.3,91,84,82,90,88,,,,,,0,2026-09-18
46,SMLE,Basic Materials,Specialty Chemicals,28846343,214.0,183.45,47.59,26.03,-49.8,210.1,40.6,7.1,15.9,29.7,35.2,90,87,98,91,74,,,top2,,,1,2026-09-18
47,TRIM,Financial Services,Capital Markets,744506,850.0,182.93,45.38,50.22,0.0,137.8,100.0,12.8,22.9,36.0,41.5,90,95,90,92,90,,,,,,0,2026-09-18
48,HOPE,Industrials,Metal Fabrication,59793486,224.0,182.42,-25.3,-19.79,-40.4,124.0,44.9,1.6,-6.6,3.7,9.9,90,6,97,43,83,,,,,,0,2026-09-18
49,OILS,Consumer Defensive,Packaged Foods,14110696,312.0,181.55,36.47,33.3,-4.3,138.2,92.8,2.6,14.3,27.8,33.1,90,93,92,89,88,,,,,,0,2026-09-18
50,MARK,Healthcare,Medical Instruments & Supplies,14412040,1245.0,180.73,-1.1,6.3,0.0,126.1,100.0,11.2,13.2,17.1,47.6,89,76,80,93,88,,,,,,0,2026-09-18
51,UNIC,Basic Materials,Chemicals,22856,15225.0,180.0,-19.57,-31.7,-0.5,119.4,99.1,1.0,1.2,6.3,35.9,89,41,65,93,88,,,,,,0,2026-09-18
52,AADI,Energy,Thermal Coal,11444326,12375.0,178.47,27.87,25.2,-0.6,100.6,98.8,2.3,10.1,25.5,42.7,89,88,89,84,87,,,,,,0,2026-09-18
53,MBSS,Industrials,Marine Shipping,1598770,2890.0,175.84,0.02,13.0,-21.7,129.4,67.1,0.5,1.3,4.2,26.7,89,48,43,95,85,,,,,,0,2026-09-18
54,TAPG,Consumer Defensive,Farm Products,23967916,2250.0,175.08,31.01,29.98,-8.2,84.8,83.8,-1.1,2.9,20.1,42.0,89,86,89,91,82,,,,,,0,2026-09-18
55,NASI,Consumer Defensive,Farm Products,8464833,174.0,174.4,41.68,39.41,-7.4,97.7,86.0,7.2,13.0,26.6,28.7,88,89,91,58,86,,,,,,0,2026-09-18
56,TUGU,Financial Services,Insurance - Diversified,3181340,1645.0,173.06,15.27,7.66,0.0,88.1,100.0,14.4,17.8,25.7,40.0,88,80,86,89,84,,,,,,0,2026-09-18
57,ALDO,Basic Materials,Paper & Paper Products,131703,955.0,172.81,-15.46,-49.07,-1.0,95.8,97.9,0.8,1.5,11.7,39.8,88,56,74,94,85,,,,,,0,2026-09-18
58,CBRE,Industrials,Marine Shipping,17058470,720.0,172.24,-118.13,-7.87,-60.0,98.9,24.9,-2.1,0.3,1.9,-14.1,88,56,35,44,95,,,,,,0,2026-09-18
59,KICI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",10216433,282.0,171.45,51.25,80.09,-12.4,105.8,78.4,2.9,10.7,29.8,32.7,88,95,88,89,86,,,,,,0,2026-09-18
60,BDMN,Financial Services,Banks - Regional,2571516,4440.0,169.9,-4.2,45.41,-9.0,101.5,83.6,-0.1,1.4,3.9,32.1,87,52,40,95,83,,,,,,0,2026-09-18
61,CCSI,Technology,Communication Equipment,4335360,434.0,169.0,72.49,77.41,-1.8,110.7,96.6,26.4,42.3,59.2,52.0,87,97,94,94,60,,,,,,0,2026-09-18
62,TEBE,Industrials,Infrastructure Operations,17342130,1965.0,165.81,9.81,-43.24,-51.8,148.7,35.7,13.0,13.2,44.5,37.0,87,78,95,91,68,,,,,,0,2026-09-18
63,MOLI,Basic Materials,Chemicals,6062566,350.0,165.48,34.91,35.89,-9.7,85.2,81.1,9.0,13.9,25.9,31.7,87,86,89,90,81,,,,,,0,2026-09-18
64,NSSS,Consumer Defensive,Farm Products,8477956,810.0,165.26,-0.47,6.69,-62.5,123.1,24.8,-1.2,-4.2,-5.8,-3.2,86,10,90,31,86,,,,,,0,2026-09-18
65,ELIT,Technology,Information Technology Services,43037463,284.0,164.08,64.78,71.94,-26.8,97.2,57.4,3.3,9.3,36.7,33.9,86,97,89,88,74,,,,,,0,2026-09-18
66,KOKA,Industrials,Engineering & Construction,25528946,189.0,162.67,40.47,99.11,-53.9,117.2,31.6,-0.5,1.8,-0.2,-4.8,86,64,97,50,85,,,,,,0,2026-09-18
67,HRTA,Consumer Cyclical,Luxury Goods,13368560,2130.0,162.01,-25.34,-20.66,-33.0,164.1,55.8,-3.0,-5.4,2.5,-3.2,86,28,23,15,94,,,,,,0,2026-09-18
68,FPNI,Basic Materials,Specialty Chemicals,18110316,515.0,160.58,-8.98,-49.42,-70.1,179.9,21.5,-7.5,-11.3,12.1,-8.2,86,82,87,76,92,,,,,,0,2026-09-18
69,TRUS,Financial Services,Credit Services,236070,456.0,158.34,29.82,49.37,-16.3,114.5,73.2,0.9,1.9,5.4,20.5,85,81,96,78,52,,,,,,0,2026-09-18
70,PRIM,Healthcare,Medical Care Facilities,7761876,120.0,158.06,-11.65,-23.3,-2.4,76.5,94.5,0.0,0.8,9.2,35.1,85,56,86,92,66,,,,,,0,2026-09-18
71,PTSN,Technology,Electronic Components,5619996,428.0,158.04,45.16,37.56,-10.8,116.2,81.6,16.9,29.0,46.9,36.9,85,96,95,81,58,,,,,,0,2026-09-18
72,VOKS,Industrials,Electrical Equipment & Parts,2846626,314.0,158.01,42.63,28.79,-16.0,69.7,68.3,18.8,27.6,39.8,38.5,85,94,90,90,68,,,,,,0,2026-09-18
73,FORE,Consumer Cyclical,Restaurants,7408230,810.0,157.96,22.3,4.14,-21.0,80.8,62.7,1.8,0.2,9.5,21.2,85,51,53,94,76,,,,,,0,2026-09-18
74,SDMU,Industrials,Trucking,46983676,93.0,157.58,25.1,73.62,-33.6,69.1,44.7,2.0,2.7,10.0,3.3,84,83,78,71,87,,,,,,0,2026-09-18
75,FAST,Consumer Cyclical,Restaurants,42929020,452.0,156.23,-12.16,-91.71,-43.1,123.8,42.2,1.2,-1.2,16.7,14.5,84,4,96,83,67,,,,,,0,2026-09-18
76,LSIP,Consumer Defensive,Farm Products,11205836,1735.0,156.01,27.69,32.9,0.0,68.2,100.0,2.2,8.5,17.9,33.7,84,86,85,90,72,,,,,,0,2026-09-18
77,BFIN,Financial Services,Credit Services,22423330,985.0,155.19,3.66,-6.04,-3.4,68.4,92.0,-1.0,3.4,10.5,31.8,84,61,84,88,71,,,,,,0,2026-09-18
78,ESIP,Consumer Cyclical,Packaging & Containers,28341606,120.0,154.95,-38.38,36.63,-45.2,168.9,43.2,-2.7,-2.0,-4.8,10.6,84,25,18,94,90,,,,,,0,2026-09-18
79,IDEA,Consumer Defensive,Education & Training Services,9832213,112.0,153.99,57.39,76.19,-32.5,143.5,55.0,40.7,59.4,69.1,29.8,83,98,96,26,54,,top2,,,,1,2026-09-18
80,GGRM,Consumer Defensive,Tobacco,1362796,17500.0,153.12,-26.97,-29.01,-19.4,109.3,68.4,-8.4,-10.9,-8.3,11.4,83,5,58,82,88,,,,,,0,2026-09-18
81,ADRO,Energy,Thermal Coal,40460676,2670.0,152.57,4.9,25.64,-6.0,84.6,87.8,0.4,0.2,4.2,18.6,83,54,60,79,81,,,,,,0,2026-09-18
82,SOHO,Healthcare,Medical Distribution,323446,1630.0,152.3,51.09,87.04,-51.8,129.9,34.5,2.2,16.7,27.9,-3.8,83,92,85,15,89,,,,,,0,2026-09-18
83,UVCR,Technology,Software - Application,53528570,174.0,152.18,14.13,42.03,-27.9,185.9,62.6,9.2,15.3,18.0,9.2,82,87,14,83,90,,,,,,0,2026-09-18
84,AUTO,Consumer Cyclical,Auto Parts,4281720,3320.0,151.43,4.7,2.99,-3.2,58.4,91.8,-0.3,0.6,12.7,27.1,82,76,80,85,77,,,,,,0,2026-09-18
85,DGNS,Healthcare,Diagnostics & Research,1754280,278.0,150.83,22.23,36.37,-15.2,98.6,73.4,1.8,9.1,15.5,11.9,82,86,58,45,86,,,,,,0,2026-09-18
86,INDY,Energy,Thermal Coal,28452343,2760.0,150.41,15.51,10.64,-34.6,76.6,45.0,-2.1,-0.7,6.9,-1.3,82,49,63,14,87,,,,,,0,2026-09-18
87,RMKO,Energy,Thermal Coal,10009073,326.0,150.3,24.41,77.57,-82.0,148.9,11.6,-4.5,2.2,4.2,-28.3,82,81,33,3,94,,,,,,0,2026-09-18
88,ULTJ,Consumer Defensive,Beverages - Non-Alcoholic,6794913,1900.0,150.14,32.45,41.22,0.0,52.6,100.0,15.6,21.1,27.1,26.6,81,88,83,83,76,,,,,,0,2026-09-18
89,PSAB,Basic Materials,Gold,100235760,565.0,149.83,-0.73,-25.64,-7.5,98.1,85.9,3.1,0.2,16.8,32.0,81,75,78,88,72,,,,,,0,2026-09-18
90,AKSI,Industrials,Trucking,1845000,382.0,149.82,65.45,72.89,-29.9,120.8,56.2,15.1,32.8,52.2,19.3,81,98,93,73,75,,top2,,,,1,2026-09-18
91,TALF,Consumer Cyclical,Packaging & Containers,449170,705.0,149.02,-26.95,-45.83,-41.5,107.9,42.3,0.4,-0.5,-1.5,9.6,81,21,37,85,83,,,,,,0,2026-09-18
92,PIPA,Industrials,Building Products & Equipment,273660506,180.0,148.61,43.02,58.03,-71.2,87.5,15.9,-9.2,-7.8,19.0,7.3,81,95,90,87,79,,,,,,0,2026-09-18
93,SMIL,Industrials,Rental & Leasing Services,39412193,430.0,147.37,14.51,19.23,-42.7,92.0,39.2,-1.3,2.2,11.4,31.4,80,80,91,93,35,,,,,,0,2026-09-18
94,AIMS,Energy,Thermal Coal,869173,505.0,147.3,40.2,48.14,-38.4,72.9,40.3,0.7,9.6,20.9,18.2,80,89,72,81,79,,,,,,0,2026-09-18
95,FOLK,Consumer Cyclical,Internet Retail,31927366,240.0,146.47,47.2,120.5,-77.7,215.8,16.4,-0.1,15.2,15.8,-35.2,80,93,67,3,93,,,,,,0,2026-09-18
96,WAPO,Consumer Defensive,Packaged Foods,5376440,189.0,146.22,42.61,40.41,-35.3,105.4,48.5,3.4,10.8,32.6,26.4,80,93,92,88,37,,,,,,0,2026-09-18
97,BLES,Basic Materials,Building Materials,13652136,195.0,145.82,-3.33,-37.1,-10.6,71.8,78.0,-2.8,-3.8,4.1,22.4,80,25,81,89,61,,,,,,0,2026-09-18
98,BULL,Industrials,Marine Shipping,467439443,390.0,144.65,-35.22,-41.3,-43.1,161.7,45.0,-7.6,-10.1,-6.4,-7.4,79,9,24,27,91,,,,,,0,2026-09-18
99,LFLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",110940,580.0,144.08,13.19,29.98,-30.6,146.2,57.3,9.7,10.4,14.5,1.5,79,77,66,61,90,,,,,,0,2026-09-18
100,AALI,Consumer Defensive,Farm Products,1637756,8675.0,143.61,21.22,14.39,0.0,47.7,100.0,1.7,4.3,16.5,20.2,79,75,83,84,66,,,,,,0,2026-09-18
101,SMDR,Industrials,Marine Shipping,22633486,398.0,143.58,31.95,30.24,-7.2,59.9,82.9,4.6,13.9,25.9,21.8,79,89,86,66,64,,,,,,0,2026-09-18
102,PTBA,Energy,Thermal Coal,37734626,3140.0,143.34,31.71,42.92,0.0,51.4,100.0,3.2,12.0,23.2,24.6,78,91,71,76,73,,,,,,0,2026-09-18
103,GJTL,Consumer Cyclical,Auto Parts,5831193,1350.0,142.99,-3.61,-8.1,-6.6,54.5,83.4,-0.7,-2.0,5.1,22.3,78,48,54,88,75,,,,,,0,2026-09-18
104,PSDN,Consumer Defensive,Packaged Foods,6794140,136.0,141.99,6.7,2.72,-39.3,41.7,31.2,-2.2,-0.6,5.0,3.1,78,48,53,87,76,,,,,,0,2026-09-18
105,PSKT,Consumer Cyclical,Lodging,20428476,232.0,141.87,-82.22,-57.38,-42.3,116.8,42.4,-3.4,-3.1,4.1,-6.9,78,63,61,49,85,,,,,,0,2026-09-18
106,BSIM,Financial Services,Banks - Regional,526336,1040.0,141.2,50.69,54.62,-39.2,52.9,35.0,-6.2,5.2,27.9,16.2,78,96,85,78,58,,,,,,0,2026-09-18
107,DSNG,Consumer Defensive,Farm Products,5675760,1660.0,141.05,27.75,31.96,-11.3,60.9,74.8,0.9,3.8,17.6,17.8,77,85,88,86,53,,,,,,0,2026-09-18
108,SWID,Real Estate,Real Estate - Development,34421063,126.0,141.05,12.98,5.89,-12.1,53.8,71.8,4.0,4.8,16.2,16.0,77,82,82,86,70,,,,,,0,2026-09-18
109,HBAT,Real Estate,Real Estate - Development,1436160,364.0,140.9,16.69,64.83,-30.7,141.1,57.0,10.6,24.4,38.1,5.9,77,97,13,26,91,,,,,,0,2026-09-18
110,KSIX,Real Estate,Real Estate - Development,995750,414.0,140.78,-16.64,-55.38,-8.0,81.6,83.8,1.0,0.2,14.9,15.1,77,53,48,86,82,,,,,,0,2026-09-18
111,AKRA,Energy,Oil & Gas Refining & Marketing,16647403,1470.0,140.47,10.47,18.24,-5.2,47.6,85.6,-1.3,2.0,4.8,14.7,77,54,70,85,70,,,,,,0,2026-09-18
112,KINO,Consumer Defensive,Beverages - Non-Alcoholic,50526,1405.0,140.28,3.74,-8.48,-1.1,38.7,96.3,1.5,2.9,9.7,17.7,76,65,72,87,70,,,,,,0,2026-09-18
113,ELSA,Energy,Oil & Gas Equipment & Services,20751836,705.0,139.98,-4.21,7.35,-24.0,58.9,54.0,-2.8,-1.8,1.5,12.6,76,42,67,35,77,,,,,,0,2026-09-18
114,SMAR,Consumer Defensive,Farm Products,104030,6400.0,139.32,5.81,29.02,-6.9,59.2,83.4,-0.2,1.4,9.2,22.7,76,74,77,80,55,,,,,,0,2026-09-18
115,BMSR,Basic Materials,Chemicals,304936,362.0,139.01,22.52,32.18,-9.5,40.3,73.2,6.3,10.9,14.7,15.1,76,83,70,79,72,,,,,,0,2026-09-18
116,CITY,Real Estate,Real Estate - Development,1998473,179.0,138.84,14.84,32.54,-61.3,79.0,21.8,-3.6,-1.1,2.2,-15.5,76,49,68,71,81,,,,,,0,2026-09-18
117,RSCH,Healthcare,Medical Care Facilities,24964610,442.0,138.27,32.74,19.14,-9.8,76.8,80.0,4.0,15.1,33.5,27.7,75,94,82,79,64,,,,,,0,2026-09-18
118,INET,Communication Services,Telecom Services,625760563,338.0,138.17,26.0,14.53,-63.9,115.3,23.3,-2.1,-0.9,24.1,-6.7,75,80,92,74,71,,,,,,0,2026-09-18
119,ISAT,Communication Services,Telecom Services,78834283,2370.0,137.6,-5.36,-30.55,-13.5,51.2,68.4,-0.5,-3.5,6.7,12.6,75,11,81,75,66,,,,,,0,2026-09-18
120,SOTS,Consumer Cyclical,Lodging,400263,600.0,137.48,-8.12,-15.11,-88.1,125.6,7.0,-0.7,-2.5,-2.5,-50.2,75,10,12,4,89,,,,,,0,2026-09-18
121,WGSH,Technology,Software - Infrastructure,30052223,131.0,137.31,-58.79,-87.83,-32.8,56.0,42.3,-9.2,-15.0,-15.1,-1.1,74,0,73,71,78,,,,,,0,2026-09-18
122,HYGN,Industrials,Specialty Business Services,2231630,180.0,137.25,6.27,3.97,-9.1,42.9,75.0,-4.7,-2.4,5.3,17.0,74,59,75,85,59,,,,,,0,2026-09-18
123,MBTO,Consumer Defensive,Household & Personal Products,17133790,155.0,136.87,23.24,41.26,-53.6,63.2,25.1,6.6,13.8,21.4,14.1,74,84,84,86,60,,,,,,0,2026-09-18
124,PTSP,Consumer Cyclical,Restaurants,262673,1225.0,136.81,22.53,27.27,-25.1,45.0,48.1,-3.0,5.9,21.5,26.5,74,90,76,85,68,,,,,,0,2026-09-18
125,SCCO,Industrials,Electrical Equipment & Parts,195456,2770.0,136.1,17.42,31.17,-8.3,34.5,74.0,3.6,10.1,16.1,20.5,74,82,66,83,66,,,,,,0,2026-09-18
126,ARCI,Basic Materials,Gold,52770186,1340.0,136.08,4.05,-2.56,-32.8,62.7,44.1,1.1,-0.5,11.0,-3.6,73,46,65,19,83,,,,,,0,2026-09-18
127,AHAP,Financial Services,Insurance - Property & Casualty,50304146,115.0,135.81,4.1,-2.2,-39.8,98.3,42.9,9.4,12.9,17.3,4.5,73,63,72,48,74,,,,,,0,2026-09-18
128,APEX,Energy,Oil & Gas Drilling,25450980,193.0,135.79,10.41,-7.8,-35.7,73.9,43.4,-4.3,-2.0,11.8,0.6,73,71,87,26,78,,,,,,0,2026-09-18
129,IPAC,Real Estate,Real Estate Services,131906,189.0,135.5,21.67,32.12,-54.8,57.5,23.2,0.6,2.2,9.5,13.3,73,73,75,79,73,,,,,,0,2026-09-18
130,MITI,Industrials,Marine Shipping,11564280,278.0,135.25,41.58,31.03,-37.4,102.9,45.9,11.3,16.8,35.5,6.4,73,94,91,46,45,,,,,,0,2026-09-18
131,FUTR,Utilities,Utilities - Renewable,75200553,270.0,135.16,-93.34,-178.86,-66.2,157.1,23.7,-10.6,-15.8,-9.3,-22.9,72,8,93,64,65,,,,,,0,2026-09-18
132,CSIS,Real Estate,Real Estate - Development,2997520,206.0,134.68,-45.54,-78.13,-59.6,79.7,23.1,-1.2,-4.3,5.0,-9.5,72,19,79,81,80,,,,,,0,2026-09-18
133,KBLM,Industrials,Electrical Equipment & Parts,775876,378.0,134.26,32.3,45.34,-3.1,39.4,89.9,6.4,13.8,21.3,19.5,72,85,80,81,48,,,,,,0,2026-09-18
134,GTRA,Industrials,Integrated Freight & Logistics,1417806,244.0,134.03,20.52,39.05,-42.5,75.5,36.8,-3.4,-0.8,3.7,-5.9,72,65,69,64,81,,,,,,0,2026-09-18
135,ENRG,Energy,Oil & Gas E&P,96934653,1310.0,133.44,-12.32,48.77,-40.5,120.2,44.5,-7.2,-3.2,-0.8,-8.7,72,53,14,8,89,,,,,,0,2026-09-18
136,CLAY,Consumer Cyclical,Lodging,21823,2740.0,133.39,0.07,18.75,-24.9,82.1,57.6,0.8,0.6,4.2,1.7,71,37,28,64,85,,,,,,0,2026-09-18
137,MEDC,Energy,Oil & Gas E&P,51497633,1525.0,133.27,22.17,23.61,-21.5,48.8,54.5,-1.3,3.5,11.7,7.6,71,77,76,32,72,,,,,,0,2026-09-18
138,INTD,Basic Materials,Paper & Paper Products,1408473,268.0,133.19,-16.28,-32.1,-31.3,38.1,37.8,-1.8,-3.9,1.7,5.9,71,15,59,69,74,,,,,,0,2026-09-18
139,KJEN,Industrials,Integrated Freight & Logistics,34195433,166.0,133.19,-3.14,-24.88,-49.7,71.1,29.6,2.3,1.7,11.7,3.4,71,14,87,80,65,,,,,,0,2026-09-18
140,ITMG,Energy,Thermal Coal,1503183,26500.0,133.14,4.28,6.09,-8.3,30.4,72.0,0.7,2.0,5.8,12.7,70,65,62,73,69,,,,,,0,2026-09-18
